wkt_geom,ele,time,name,Type,RandomVal
POINT(80.238742 13.062909),-47.699341,,472,Gate,50
POINT(80.238770 13.062574),21.755371,,482,Garbage,11
POINT(80.238771 13.062570),22.716675,,492,Water,90
POINT(80.238853 13.062462),22.957031,,502,Water,25
POINT(80.239696 13.062224),27.282837,,512,Garbage,38
POINT(80.239898 13.062287),37.136353,,522,Garbage,13
POINT(80.240481 13.062321),71.503174,,532,Water,97
POINT(80.240896 13.062320),47.470459,,542,Garbage,68
POINT(80.241147 13.062475),32.329834,,552,Water,70
POINT(80.241145 13.062491),30.407227,,562,Garbage,50
POINT(80.241222 13.063919),22.716675,,572,Garbage,56
POINT(80.243109 13.064754),36.895996,,582,Food,77
POINT(80.243473 13.064438),25.360229,,592,Food,62
POINT(80.243436 13.064073),22.235962,,602,Water,41
POINT(80.242342 13.063569),69.099976,,612,Tea,71
POINT(80.243390 13.063636),36.895996,,622,Tea,16
POINT(80.243430 13.063288),37.616943,,632,Garbage,81
POINT(80.243428 13.063187),34.733154,,642,Tea,81
POINT(80.243355 13.062708),32.810547,,652,Garbage,5
POINT(80.243326 13.062640),32.57019,,662,Food,30
POINT(80.243258 13.062598),28.484619,,672,Water,77
POINT(80.243258 13.062599),28.724976,,682,Water,51
POINT(80.241216 13.062455),14.305298,,692,Medicine,62
POINT(80.241103 13.061999),26.321533,,702,Tea,56
POINT(80.241079 13.061784),34.252441,,712,Tea,36
POINT(80.241048 13.061586),36.175049,,722,Garbage,87
POINT(80.241064 13.061547),39.299316,,732,Tea,80
POINT(80.240985 13.060643),44.826904,,742,Garbage,45
POINT(80.240915 13.060058),39.05896,,752,Water,38
POINT(80.240930 13.060066),39.779907,,762,Garbage,79
POINT(80.240768 13.060578),29.686279,,772,Tea,19
POINT(80.240349 13.060562),41.702515,,782,Garbage,3
POINT(80.240257 13.060514),40.500977,,792,Tea,56
POINT(80.239583 13.060559),18.631104,,802,Garbage,24
POINT(80.239235 13.060491),24.158569,,812,Garbage,59
POINT(80.238701 13.061044),19.111816,,822,Garbage,65
POINT(80.238524 13.062548),71.022583,,832,Garbage,94
