Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10527676,1,"Sunday, August  5, 2012 09:08:02 UTC",65.8677,-145.9763,1.9,11.10,15,"northern Alaska"
nc,71827076,0,"Sunday, August  5, 2012 08:40:41 UTC",38.8270,-122.7950,1.2,3.20,17,"Northern California"
pr,12218002,0,"Sunday, August  5, 2012 07:58:18 UTC",19.5550,-65.4270,3.3,65.00,10,"Puerto Rico region"
nn,00385060,9,"Sunday, August  5, 2012 07:51:14 UTC",39.0492,-118.7437,1.4,6.00, 6,"Nevada"
ak,10527670,1,"Sunday, August  5, 2012 07:48:16 UTC",59.5646,-152.7945,1.9,119.10,10,"Southern Alaska"
ak,10527666,1,"Sunday, August  5, 2012 07:44:27 UTC",61.3200,-147.3205,1.4,9.60,11,"Southern Alaska"
ak,10527661,1,"Sunday, August  5, 2012 07:38:49 UTC",60.5129,-143.0943,1.3,0.00,16,"Southern Alaska"
nc,71827041,0,"Sunday, August  5, 2012 06:24:17 UTC",36.3358,-120.9182,1.6,5.20, 9,"Central California"
nc,71827036,0,"Sunday, August  5, 2012 06:18:58 UTC",37.8952,-121.9935,1.1,8.30, 8,"San Francisco Bay area, California"
ak,10527647,1,"Sunday, August  5, 2012 06:04:11 UTC",63.4593,-147.7584,1.3,13.70,11,"Central Alaska"
us,b000bnwu,7,"Sunday, August  5, 2012 05:57:58 UTC",-5.5581,133.8990,4.7,10.80,43,"Kepulauan Kai, Indonesia"
ak,10527638,1,"Sunday, August  5, 2012 05:05:00 UTC",60.2477,-141.8946,1.0,14.30, 7,"Southern Alaska"
ak,10527621,1,"Sunday, August  5, 2012 04:48:05 UTC",61.8650,-150.5293,3.6,37.80,70,"Southern Alaska"
nn,00385053,9,"Sunday, August  5, 2012 04:43:54 UTC",35.9127,-114.8176,1.6,0.00, 6,"Nevada"
us,b000bnw5,A,"Sunday, August  5, 2012 04:13:06 UTC",36.9401,-104.8691,2.8,5.00,31,"New Mexico"
pr,12218001,0,"Sunday, August  5, 2012 03:42:44 UTC",18.0739,-64.9925,2.4,8.00, 6,"Virgin Islands region"
nc,71826971,0,"Sunday, August  5, 2012 03:37:44 UTC",35.7317,-121.0297,1.4,4.90, 5,"Central California"
nc,71826956,1,"Sunday, August  5, 2012 03:24:01 UTC",38.8267,-122.8518,1.2,2.10,22,"Northern California"
